"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT08"
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-12",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-13",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-14",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-15",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-17",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-18",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-19",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-20",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-21",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-23",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-24",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-25",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-26",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-27",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-28",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-29",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-30",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-01-31",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-02-01",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-02-02",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-02-03",,"0.00",,,,,,,
"US1CASM0042","BELMONT 0.2 NW, CA US","2022-02-04",,"0.00",,,,,,,
